file,group,format,channel,cutoff_Hz,peak_error_pct,noise_reduction_x
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,200,-0.9742388945254109,3.2570814595849606
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,300,-0.9208978939964066,1.8357668848161783
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,400,-0.9687337271539687,1.7175526662725271
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,500,-0.9408041000251248,1.667365354997198
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,600,-0.9313801496269221,1.6319264718320887
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,700,-0.9600102899305535,1.5992076412133769
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,800,-0.942550760185068,1.5708366672364302
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,900,-0.92390901520489,1.5557826206470178
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V03,1000,-0.9391530833214601,1.532375710063063
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,5,-20.301357497813367,0.13486571264431566
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,10,-1.832549353297558,1.5925403573850785
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,15,1.8141523531670012,5.847843012939102
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,20,0.03742375293117955,9.041477054580387
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,25,-2.303862981106434,8.601748417323956
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,30,-1.9952743394214267,7.906191074045048
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,40,-2.154804356036097,5.931327553484202
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,50,-2.1015455633245037,2.7541346475333355
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,75,-2.2093150949325455,2.6351362128243365
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,100,-2.1686885542482033,2.629995982714483
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,150,-2.136341168773632,2.400121034991096
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,200,-2.129469701227018,2.4296752132492228
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,300,-1.9095009969858003,2.0750631511727526
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,400,-1.7446430150241121,2.012442357776955
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,500,-1.6350195636127451,1.9199712374214717
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,600,-1.487021403162198,1.837941499568558
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,700,-1.4856911238951567,1.8379168317246881
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,800,-1.408978197748436,1.8232906616307036
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,900,-1.4064723794049718,1.859021242278058
076_190℃_280_0.5mm.csv,0.5mm_190℃,nr500,V04,1000,-1.4162877532031484,1.847143425755616
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,5,-15.5911657163434,0.12974986391021998
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,10,-2.034629129744106,2.3267631436132965
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,15,-2.0275214717223826,7.618255703646768
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,20,-1.9591268250355396,11.564411720441903
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,25,-1.726737299212125,11.391907687060552
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,30,-1.6744209876867167,10.031465072062927
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,40,-1.4551876962150678,8.10510191026551
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,50,-1.4897819129574215,5.45495347309392
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,75,-1.4538128198901041,5.216269469191324
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,100,-1.405356289164114,5.018383684363132
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,150,-1.3328767912524384,2.800690657833843
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,200,-1.3019219804025464,2.7405471694337695
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,300,-1.2865272079389167,1.7053137594836703
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,400,-1.335517772584466,1.624695090933932
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,500,-1.3083505882937772,1.607400285720149
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,600,-1.3187715529287767,1.5941224672660146
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,700,-1.324450902705612,1.5428516710177003
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,800,-1.3160583293359138,1.525798696444715
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,900,-1.305528948748321,1.4946842598709875
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,1000,-1.2985724710305981,1.4847123001534885
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,5,-15.486246223546685,0.19911302084705002
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,10,-3.831873045305274,4.962810106610982
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,15,-3.510048861628106,6.21461668664505
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,20,-2.9830690935368365,5.9251146635260445
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,25,-3.3914238325095325,6.646333877016205
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,30,-3.249869539723614,6.730875520502441
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,40,-3.091877613887467,5.582177747449885
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,50,-3.0365452731997338,2.669046131348745
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,75,-3.139749683177172,2.634521954264921
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,100,-3.1528933637263936,2.7100921751217175
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,150,-3.116041959597325,2.5231525686141203
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,200,-3.141899487987461,2.518360833459502
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,300,-2.9503635833110144,2.0736466418004005
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,400,-2.9381933443629724,1.9921175883285271
