Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
0.148,0.00,0.00,0.22,0.00,
0.149,0.00,0.00,0.07,0.00,
0.150,0.00,0.03,0.11,0.00,
0.151,0.04,0.02,0.09,0.00,
0.152,0.00,0.00,0.06,0.00,
0.153,0.00,0.00,0.15,0.00,
0.154,0.00,0.00,0.09,0.04,
0.155,0.00,0.00,0.24,0.00,
0.156,0.03,0.13,0.15,0.00,
0.157,0.03,0.01,0.05,0.00,
0.158,0.06,0.00,0.08,0.00,
0.159,0.05,0.00,0.17,0.00,
0.160,0.15,0.00,0.17,0.00,
0.161,0.02,0.00,0.18,0.00,
0.162,0.06,0.00,0.06,0.00,
0.163,0.08,0.02,0.14,0.00,
0.164,0.03,0.00,0.11,0.00,
0.165,0.01,0.10,0.15,0.00,
0.166,0.08,0.01,0.12,0.00,
0.167,0.10,0.00,0.18,0.00,
0.168,0.07,0.00,0.05,0.00,
0.169,0.06,0.08,0.09,0.00,
0.170,0.00,0.00,0.00,0.00,
0.171,0.07,0.00,0.13,0.00,
0.172,0.00,0.04,0.08,0.00,
0.173,0.16,0.00,0.08,0.00,
0.174,0.00,0.00,0.05,0.00,
0.175,0.02,0.00,0.00,0.00,
0.176,0.09,0.00,0.00,0.00,
0.177,0.09,0.00,0.01,0.00,
0.178,0.03,0.00,0.03,0.00,
0.179,0.10,0.03,0.22,0.00,
0.180,0.06,0.04,0.15,0.00,
0.181,0.00,0.08,0.19,0.00,
0.182,0.00,0.00,0.08,0.00,
0.183,0.04,0.00,0.25,0.00,
0.184,0.06,0.00,0.19,0.00,
0.185,0.00,0.00,0.25,0.00,
0.186,0.05,0.00,0.28,0.00,
0.187,0.00,0.00,0.12,0.00,
0.188,0.00,0.00,0.17,0.00,
0.189,0.00,0.15,0.11,0.00,
0.190,0.06,0.00,0.23,0.00,
0.191,0.03,0.00,0.17,0.00,
0.192,0.07,0.00,0.14,0.00,
0.193,0.12,0.00,0.09,0.00,
0.194,0.02,0.00,0.09,0.03,
0.195,0.10,0.00,0.07,0.00,
0.196,0.08,0.00,0.13,0.00,
0.197,0.01,0.00,0.10,0.00,
0.198,0.09,0.00,0.12,0.01,
0.199,0.17,0.03,0.13,0.00,
0.200,0.04,0.00,0.10,0.00,
0.201,0.05,0.11,0.14,0.00,
0.202,0.08,0.01,0.20,0.08,
0.203,0.09,0.00,0.13,0.00,
0.204,0.05,0.08,0.11,0.02,
0.205,0.20,0.00,0.11,0.05,
0.206,0.17,0.00,0.16,0.00,
0.207,0.12,0.00,0.12,0.00,
0.208,0.00,0.00,0.01,0.04,
0.209,0.11,0.00,0.20,0.02,
0.210,0.07,0.00,0.06,0.00,
0.211,0.11,0.00,0.27,0.06,
0.212,0.00,0.00,0.08,0.06,
0.213,0.01,0.00,0.16,0.00,
0.214,0.07,0.00,0.10,0.00,
0.215,0.00,0.00,0.14,0.00,
0.216,0.02,0.00,0.14,0.00,
0.217,0.00,0.00,0.24,0.06,
0.218,0.00,0.00,0.04,0.07,
0.219,0.01,0.00,0.01,0.20,
0.220,0.00,0.00,0.00,0.11,
0.221,0.00,0.00,0.15,0.03,
0.222,0.08,0.00,0.11,0.00,
0.223,0.00,0.00,0.12,0.00,
0.224,0.14,0.00,0.16,0.00,
0.225,0.03,0.04,0.12,0.00,
0.226,0.09,0.00,0.06,0.03,
0.227,0.00,0.00,0.09,0.00,
0.228,0.11,0.01,0.06,0.00,
0.229,0.05,0.00,0.00,0.00,
0.230,0.01,0.00,0.05,0.02,
0.231,0.00,0.00,0.10,0.00,
0.232,0.08,0.05,0.14,0.01,
0.233,0.05,0.05,0.21,0.00,
0.234,0.07,0.00,0.00,0.00,
0.235,0.01,0.00,0.16,0.00,
0.236,0.02,0.00,0.18,0.00,
0.237,0.09,0.01,0.09,0.01,
0.238,0.04,0.00,0.21,0.00,
0.239,0.03,0.16,0.11,0.00,
0.240,0.05,0.02,0.11,0.00,
0.241,0.06,0.05,0.16,0.07,
0.242,0.04,0.03,0.20,0.04,
0.243,0.14,0.00,0.06,0.03,
0.244,0.07,0.00,0.06,0.03,
0.245,0.03,0.10,0.15,0.00,
0.246,0.02,0.00,0.02,0.00,
0.247,0.04,0.00,0.09,0.00,
0.248,0.03,0.00,0.11,0.00,
0.249,0.00,0.02,0.22,0.00,
0.250,0.09,0.07,0.03,0.00,
0.251,0.16,0.00,0.11,0.00,
0.252,0.05,0.00,0.07,0.01,
0.253,0.14,0.13,0.03,0.00,
0.254,0.06,0.00,0.09,0.08,
0.255,0.10,0.17,0.09,0.08,
0.256,0.06,0.05,0.07,0.16,
0.257,0.07,0.07,0.16,0.00,
0.258,0.03,0.06,0.09,0.00,
0.259,0.00,0.04,0.12,0.00,
0.260,0.00,0.00,0.14,0.03,
0.261,0.00,0.00,0.05,0.00,
0.262,0.09,0.00,0.18,0.00,
0.263,0.00,0.11,0.12,0.00,
0.264,0.00,0.14,0.15,0.00,
0.265,0.03,0.02,0.11,0.00,
0.266,0.00,0.02,0.08,0.00,
0.267,0.07,0.11,0.05,0.02,
0.268,0.01,0.07,0.09,0.00,
0.269,0.03,0.01,0.00,0.00,
0.270,0.10,0.09,0.17,0.00,
0.271,0.00,0.00,0.10,0.03,
0.272,0.03,0.14,0.01,0.00,
0.273,0.04,0.06,0.23,0.00,
0.274,0.08,0.00,0.07,0.10,
0.275,0.13,0.12,0.00,0.00,
0.276,0.06,0.10,0.17,0.00,
0.277,0.00,0.11,0.16,0.00,
0.278,0.05,0.00,0.09,0.00,
0.279,0.00,0.10,0.02,0.00,
0.280,0.00,0.00,0.07,0.00,
0.281,0.04,0.06,0.15,0.00,
0.282,0.06,0.00,0.04,0.00,
0.283,0.07,0.00,0.05,0.00,
0.284,0.04,0.00,0.12,0.00,
0.285,0.13,0.12,0.20,0.00,
0.286,0.10,0.00,0.13,0.00,
0.287,0.12,0.16,0.04,0.00,
0.288,0.12,0.01,0.13,0.00,
0.289,0.11,0.00,0.14,0.00,
0.290,0.03,0.00,0.12,0.00,
0.291,0.00,0.02,0.24,0.00,
0.292,0.08,0.01,0.12,0.00,
