Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
2.546,7.91,3.76,0.00,0.00,
2.547,8.21,3.94,0.00,0.00,
2.548,8.43,4.35,0.00,0.03,
2.549,8.62,4.51,0.00,0.00,
2.550,8.85,4.67,0.00,0.00,
2.551,9.03,4.75,0.00,0.02,
2.552,9.35,5.12,0.00,0.00,
2.553,9.47,5.26,0.00,0.02,
2.554,9.82,5.55,0.00,0.10,
2.555,10.01,5.70,0.16,0.07,
2.556,10.32,5.93,0.40,0.00,
2.557,10.43,6.09,0.49,0.08,
2.558,10.58,6.21,0.63,0.04,
2.559,10.92,6.51,0.81,0.02,
2.560,11.28,6.92,1.13,0.03,
2.561,11.50,6.93,1.31,0.05,
2.562,11.75,7.18,1.46,0.00,
2.563,11.90,7.40,1.62,0.00,
2.564,12.08,7.63,1.82,0.00,
2.565,12.38,7.73,1.86,0.00,
2.566,12.61,8.12,2.39,0.03,
2.567,12.94,8.22,2.54,0.11,
2.568,13.13,8.57,2.69,0.08,
2.569,13.37,8.88,2.84,0.00,
2.570,13.66,8.97,3.07,0.00,
2.571,13.90,9.34,3.28,0.03,
2.572,14.12,9.53,3.46,0.06,
2.573,14.30,9.61,3.77,0.00,
2.574,14.54,10.08,3.95,0.03,
2.575,14.82,10.16,4.19,0.01,
2.576,15.10,10.49,4.17,0.03,
2.577,15.49,10.79,4.70,0.00,
2.578,15.64,11.07,4.82,0.06,
2.579,15.89,11.18,5.03,0.03,
2.580,16.16,11.47,5.13,0.10,
2.581,16.29,11.60,5.24,0.00,
2.582,16.54,11.83,5.51,0.08,
2.583,16.87,12.14,5.92,0.03,
2.584,17.17,12.40,6.25,0.00,
2.585,17.29,12.62,6.29,0.07,
2.586,17.47,12.85,6.56,0.02,
2.587,17.74,12.96,6.76,0.05,
2.588,18.01,13.23,6.83,0.00,
2.589,18.48,13.60,7.33,0.02,
2.590,18.67,13.82,7.48,0.00,
2.591,18.92,13.93,7.75,0.01,
2.592,19.11,14.19,7.93,0.00,
2.593,19.30,14.46,8.09,0.00,
2.594,19.59,14.78,8.29,0.00,
2.595,19.95,15.14,8.68,0.19,
2.596,20.09,15.32,8.76,0.37,
2.597,20.43,15.53,9.07,0.54,
2.598,20.66,15.76,9.41,0.83,
2.599,20.77,15.90,9.59,1.01,
2.600,21.03,16.13,9.69,1.17,
2.601,21.51,16.53,10.22,1.44,
2.602,21.58,16.79,10.31,1.63,
2.603,21.87,17.03,10.46,1.68,
2.604,22.23,17.16,10.71,1.85,
2.605,22.33,17.29,10.91,2.09,
2.606,22.88,17.59,11.11,2.19,
2.607,23.02,18.08,11.59,2.61,
2.608,23.21,18.47,11.79,2.70,
2.609,23.48,18.66,11.91,2.82,
2.610,23.68,18.80,12.12,2.92,
2.611,23.94,18.98,12.28,3.10,
2.612,24.28,19.48,12.72,3.33,
2.613,24.55,19.73,13.05,3.57,
2.614,24.75,19.99,13.12,3.80,
2.615,24.99,19.99,13.34,3.98,
2.616,25.21,20.36,13.65,4.16,
2.617,25.49,20.58,13.80,4.35,
2.618,25.94,20.99,14.29,4.81,
2.619,26.31,21.19,14.40,4.84,
2.620,26.42,21.51,14.59,5.12,
2.621,26.71,21.63,14.81,5.34,
2.622,26.87,21.92,15.01,5.48,
2.623,27.27,22.07,15.24,5.72,
2.624,27.63,22.50,15.67,5.92,
2.625,27.89,22.87,15.81,6.13,
2.626,28.07,23.08,16.21,6.45,
2.627,28.34,23.30,16.38,6.60,
2.628,28.50,23.44,16.50,6.74,
2.629,28.82,23.68,16.84,6.88,
2.630,29.30,24.03,17.10,7.34,
2.631,29.46,24.41,17.36,7.52,
2.632,29.74,24.47,17.64,7.89,
2.633,30.07,24.89,17.74,7.97,
2.634,30.18,25.05,18.03,8.24,
2.635,30.54,25.39,18.26,8.38,
2.636,30.93,25.71,18.67,8.59,
2.637,31.30,25.93,18.90,8.78,
2.638,31.43,26.27,19.31,8.99,
2.639,31.74,26.55,19.43,9.36,
2.640,31.99,26.74,19.70,9.55,
2.641,32.30,27.10,20.01,9.97,
2.642,32.70,27.27,20.21,10.11,
2.643,32.94,27.48,20.57,10.34,
2.644,33.15,27.81,20.77,10.53,
2.645,33.35,28.22,20.92,10.80,
2.646,33.68,28.32,21.26,10.96,
2.647,34.19,28.84,21.70,11.44,
2.648,34.35,29.06,21.83,11.55,
2.649,34.69,29.40,22.09,11.79,
2.650,34.81,29.57,22.41,11.96,
2.651,35.13,29.68,22.52,12.18,
2.652,35.39,30.01,22.82,12.50,
2.653,35.77,30.41,23.11,12.93,
2.654,36.16,30.73,23.49,13.09,
2.655,36.47,30.94,23.79,13.33,
2.656,36.57,31.27,23.81,13.64,
2.657,37.03,31.55,24.03,13.91,
2.658,37.08,31.84,24.37,14.00,
2.659,37.63,32.18,24.79,14.42,
2.660,37.74,32.57,25.02,14.57,
2.661,38.09,32.78,25.33,14.86,
2.662,38.31,32.93,25.60,15.00,
2.663,38.58,33.20,25.87,15.33,
2.664,38.79,33.44,26.10,15.56,
2.665,39.29,33.92,26.55,15.97,
2.666,39.66,34.22,26.70,16.12,
2.667,39.85,34.27,27.11,16.33,
2.668,40.07,34.55,27.37,16.64,
2.669,40.34,34.91,27.41,16.83,
2.670,40.83,35.34,27.70,17.00,
2.671,41.06,35.69,28.12,17.45,
2.672,41.31,35.87,28.42,17.69,
2.673,41.60,36.00,28.64,18.01,
2.674,41.76,36.24,28.91,18.09,
2.675,42.00,36.61,29.14,18.26,
2.676,42.50,37.06,29.57,18.78,
2.677,42.84,37.35,29.93,18.99,
2.678,43.05,37.44,30.10,19.26,
2.679,43.31,37.74,30.38,19.38,
2.680,43.48,38.08,30.50,19.67,
2.681,43.72,38.31,30.77,19.76,
2.682,44.17,38.78,31.20,20.29,
2.683,44.40,38.88,31.44,20.52,
2.684,44.58,39.20,31.60,20.68,
2.685,44.82,39.23,31.84,20.95,
2.686,45.01,39.56,31.93,21.03,
2.687,45.21,39.69,32.08,21.43,
2.688,45.76,40.19,32.63,21.67,
2.689,45.90,40.40,32.82,21.88,
2.690,46.13,40.52,33.01,22.06,
2.691,46.21,40.82,33.09,22.29,
2.692,46.40,40.86,33.23,22.47,
2.693,46.32,40.99,33.34,22.62,
2.694,46.34,40.96,33.40,22.78,
2.695,46.25,40.77,33.46,22.75,
2.696,46.11,40.73,33.41,22.72,
2.697,45.98,40.61,33.30,22.73,
2.698,45.81,40.44,33.12,22.74,
2.699,45.40,40.33,33.01,22.61,
2.700,44.76,39.54,32.76,22.31,
2.701,44.20,39.18,32.53,22.21,
2.702,43.77,38.79,32.15,21.96,
2.703,43.22,38.40,31.87,21.77,
2.704,42.70,37.89,31.63,21.68,
2.705,41.39,36.99,30.90,21.26,
2.706,40.97,36.47,30.58,20.98,
2.707,40.26,36.02,30.20,20.69,
2.708,39.64,35.38,29.84,20.39,
2.709,39.01,34.82,29.35,20.26,
2.710,38.43,34.21,28.98,19.92,
2.711,37.07,33.20,28.20,19.47,
2.712,36.51,32.69,27.65,19.21,
2.713,35.87,32.13,27.27,18.76,
2.714,35.32,31.51,26.82,18.59,
2.715,34.68,30.94,26.40,18.32,
2.716,34.08,30.44,26.04,18.10,
2.717,33.00,29.58,25.20,17.49,
2.718,32.44,29.10,24.86,17.30,
2.719,31.78,28.70,24.37,17.14,
2.720,31.40,28.12,24.07,16.86,
2.721,30.83,27.86,23.75,16.65,
2.722,30.37,27.40,23.43,16.30,
2.723,29.61,26.71,22.87,16.03,
2.724,29.07,26.19,22.54,15.70,
2.725,28.81,25.76,22.25,15.59,
2.726,28.39,25.48,21.94,15.38,
2.727,28.03,25.15,21.57,15.23,
2.728,27.70,24.98,21.46,14.92,
2.729,27.07,24.23,20.98,14.76,
2.730,26.61,23.97,20.71,14.42,
2.731,26.37,23.66,20.50,14.37,
2.732,26.03,23.36,20.23,14.24,
2.733,25.75,23.09,19.95,14.12,
2.734,25.16,22.60,19.68,13.82,
2.735,24.97,22.36,19.43,13.55,
2.736,24.59,22.13,19.22,13.35,
2.737,24.35,21.98,19.02,13.36,
2.738,24.12,21.55,18.97,13.23,
2.739,23.89,21.26,18.67,13.00,
2.740,23.31,20.95,18.29,12.81,
2.741,23.04,20.80,18.20,12.70,
2.742,22.77,20.42,17.86,12.36,
2.743,22.53,20.38,17.91,12.33,
2.744,22.33,20.18,17.53,12.34,
2.745,22.14,19.94,17.43,12.22,
2.746,21.77,19.67,17.16,12.03,
2.747,21.66,19.51,16.88,11.85,
2.748,21.38,19.24,16.77,11.78,
2.749,21.18,19.06,16.58,11.59,
2.750,21.05,18.98,16.58,11.43,
2.751,20.81,18.84,16.36,11.35,
2.752,20.56,18.49,16.06,11.29,
2.753,20.47,18.42,16.06,11.18,
2.754,20.22,18.20,15.93,11.06,
2.755,20.09,18.11,15.92,11.00,
2.756,19.95,17.99,15.73,10.90,
2.757,19.96,17.81,15.47,10.94,
2.758,19.66,17.75,15.37,10.68,
2.759,19.48,17.59,15.32,10.75,
2.760,19.39,17.47,15.25,10.66,
2.761,19.47,17.34,15.09,10.51,
2.762,19.35,17.22,14.93,10.44,
2.763,19.15,17.19,14.88,10.39,
2.764,18.99,16.97,14.82,10.24,
2.765,19.00,16.92,14.77,10.20,
2.766,18.78,16.87,14.63,10.14,
2.767,18.78,16.78,14.64,10.10,
2.768,18.64,16.71,14.48,10.05,
2.769,18.50,16.55,14.28,10.03,
2.770,18.39,16.53,14.24,9.72,
2.771,18.49,16.52,14.13,9.81,
2.772,18.20,16.29,14.17,9.70,
2.773,18.43,16.13,14.17,9.59,
2.774,18.21,16.18,14.18,9.62,
2.775,18.18,16.14,13.99,9.54,
2.776,18.01,16.16,13.91,9.50,
2.777,17.97,15.93,13.86,9.51,
2.778,17.82,15.93,13.80,9.52,
2.779,17.71,15.93,13.88,9.34,
2.780,17.58,15.82,13.65,9.38,
2.781,17.47,15.69,13.65,9.47,
2.782,17.48,15.67,13.50,9.36,
2.783,17.46,15.62,13.40,9.27,
2.784,17.45,15.36,13.41,9.25,
2.785,17.26,15.41,13.45,9.26,
2.786,17.10,15.29,13.18,9.13,
2.787,16.91,15.15,13.13,9.08,
2.788,16.97,15.12,13.12,9.05,
2.789,16.91,15.00,13.16,8.91,
2.790,16.76,14.97,12.92,8.84,
2.791,16.72,14.82,12.80,8.82,
2.792,16.57,14.96,13.00,8.80,
2.793,16.44,14.76,12.75,8.69,
2.794,16.28,14.63,12.65,8.70,
2.795,16.34,14.51,12.74,8.62,
2.796,16.15,14.47,12.58,8.66,
2.797,16.07,14.38,12.59,8.56,
2.798,16.00,14.32,12.42,8.59,
2.799,15.88,14.13,12.31,8.47,
2.800,15.87,13.99,12.32,8.36,
2.801,15.81,13.97,12.20,8.30,
2.802,15.80,13.88,12.06,8.38,
2.803,15.62,13.96,12.15,8.39,
2.804,15.54,13.83,11.99,8.19,
2.805,15.50,13.62,11.91,8.12,
2.806,15.42,13.52,11.93,8.18,
2.807,15.30,13.70,11.89,8.15,
2.808,15.21,13.43,11.84,8.18,
2.809,15.15,13.58,11.75,7.95,
2.810,15.05,13.50,11.66,7.98,
2.811,15.02,13.46,11.55,7.96,
2.812,14.90,13.37,11.55,7.95,
2.813,14.96,13.25,11.68,7.82,
2.814,14.81,13.05,11.46,7.85,
2.815,14.79,13.10,11.41,7.82,
2.816,14.66,13.15,11.34,7.74,
2.817,14.53,12.77,11.36,7.74,
2.818,14.44,12.78,11.20,7.68,
2.819,14.47,12.80,11.06,7.58,
2.820,14.33,12.71,11.27,7.66,
2.821,14.23,12.70,11.01,7.53,
2.822,14.13,12.60,11.00,7.60,
2.823,14.09,12.45,10.91,7.45,
2.824,14.14,12.52,10.85,7.35,
2.825,13.85,12.44,10.81,7.38,
2.826,13.93,12.20,10.79,7.34,
2.827,13.66,12.32,10.82,7.19,
2.828,13.75,12.20,10.65,7.27,
2.829,13.59,12.17,10.57,7.18,
2.830,13.55,11.99,10.43,7.12,
2.831,13.58,12.11,10.42,7.19,
2.832,13.45,11.95,10.41,6.99,
2.833,13.41,11.99,10.29,6.95,
2.834,13.37,11.78,10.41,6.95,
2.835,13.37,11.83,10.28,6.98,
2.836,13.15,11.77,10.16,6.87,
2.837,13.17,11.68,10.24,6.85,
2.838,12.99,11.52,10.09,6.92,
2.839,12.90,11.47,10.09,6.78,
2.840,12.85,11.34,9.98,6.68,
2.841,12.88,11.46,10.02,6.64,
2.842,12.79,11.30,9.91,6.60,
2.843,12.75,11.21,10.00,6.65,
2.844,12.67,11.32,9.72,6.55,
2.845,12.58,11.21,9.71,6.52,
2.846,12.63,11.16,9.62,6.49,
2.847,12.49,11.14,9.72,6.57,
2.848,12.43,10.92,9.58,6.36,
2.849,12.52,11.05,9.62,6.31,
2.850,12.45,10.85,9.53,6.45,
2.851,12.29,10.90,9.65,6.27,
2.852,12.21,10.85,9.44,6.22,
2.853,12.20,10.83,9.32,6.15,
2.854,12.11,10.81,9.42,6.36,
2.855,11.96,10.73,9.33,6.36,
2.856,12.02,10.71,9.22,6.35,
2.857,11.79,10.51,9.18,6.10,
2.858,11.86,10.57,9.23,6.02,
2.859,11.86,10.36,9.09,5.95,
2.860,11.77,10.44,9.08,5.99,
2.861,11.74,10.45,8.95,5.95,
2.862,11.52,10.24,8.94,5.89,
2.863,11.48,10.12,8.87,5.83,
2.864,11.44,10.20,8.84,5.87,
2.865,11.40,10.27,8.89,5.85,
2.866,11.45,10.02,8.94,5.76,
2.867,11.33,10.00,8.86,5.86,
2.868,11.22,9.92,8.82,5.60,
2.869,11.13,9.90,8.55,5.63,
2.870,11.07,9.91,8.55,5.66,
2.871,11.05,9.85,8.62,5.60,
2.872,11.02,9.80,8.38,5.66,
2.873,11.08,9.74,8.41,5.58,
2.874,10.95,9.67,8.39,5.46,
2.875,10.90,9.71,8.40,5.51,
2.876,10.90,9.69,8.42,5.54,
2.877,10.80,9.67,8.32,5.44,
2.878,10.72,9.49,8.30,5.40,
2.879,10.67,9.40,8.30,5.35,
2.880,10.57,9.30,8.15,5.17,
2.881,10.53,9.40,8.10,5.22,
2.882,10.54,9.28,7.93,5.24,
2.883,10.37,9.23,8.05,5.20,
2.884,10.34,9.22,7.99,5.18,
2.885,10.45,9.12,8.00,5.22,
2.886,10.33,9.12,7.86,5.22,
2.887,10.41,9.15,7.91,5.16,
2.888,10.26,9.00,7.86,4.96,
2.889,10.20,8.90,7.74,5.02,
2.890,10.07,8.85,7.79,4.92,
2.891,10.03,8.76,7.66,4.89,
2.892,9.98,8.66,7.69,4.75,
2.893,9.94,8.78,7.64,4.77,
2.894,9.92,8.67,7.54,4.97,
2.895,9.83,8.65,7.51,4.93,
2.896,9.89,8.58,7.49,4.91,
2.897,9.71,8.55,7.34,4.91,
2.898,9.77,8.55,7.42,4.74,
2.899,9.64,8.41,7.39,4.74,
2.900,9.64,8.55,7.24,4.67,
2.901,9.64,8.44,7.36,4.60,
2.902,9.59,8.40,7.22,4.71,
2.903,9.52,8.29,7.24,4.50,
2.904,9.47,8.25,7.15,4.53,
2.905,9.41,8.21,7.19,4.45,
2.906,9.34,8.23,7.10,4.49,
2.907,9.30,8.08,7.00,4.46,
2.908,9.31,7.92,7.09,4.34,
2.909,9.14,8.06,6.86,4.33,
2.910,9.17,7.95,6.84,4.41,
2.911,9.09,8.01,6.80,4.34,
2.912,9.02,7.96,6.84,4.31,
2.913,9.01,7.88,6.66,4.28,
2.914,9.00,7.97,6.77,4.22,
2.915,8.81,7.66,6.75,4.27,
2.916,8.91,7.80,6.76,4.19,
2.917,8.80,7.54,6.56,4.13,
2.918,8.81,7.71,6.63,4.15,
2.919,8.82,7.70,6.47,4.03,
2.920,8.65,7.60,6.46,4.15,
2.921,8.67,7.57,6.31,4.10,
2.922,8.49,7.46,6.36,4.02,
2.923,8.41,7.37,6.33,3.97,
2.924,8.45,7.47,6.30,3.91,
2.925,8.44,7.49,6.36,3.88,
2.926,8.40,7.26,6.18,3.82,
2.927,8.37,7.29,6.19,3.85,
2.928,8.23,7.32,6.09,3.91,
2.929,8.28,7.18,6.19,3.87,
2.930,8.17,7.37,6.24,3.80,
2.931,8.24,7.36,6.09,3.78,
2.932,8.18,7.03,6.01,3.75,
2.933,8.10,7.10,6.02,3.68,
2.934,8.22,7.10,6.06,3.77,
2.935,8.09,7.09,6.05,3.74,
2.936,8.06,7.05,5.85,3.72,
2.937,7.99,7.03,5.84,3.67,
2.938,7.84,6.82,5.86,3.69,
2.939,7.95,6.81,5.81,3.58,
2.940,7.92,6.77,5.77,3.59,
2.941,7.80,6.80,5.87,3.59,
2.942,7.80,6.60,5.67,3.57,
2.943,7.78,6.62,5.67,3.50,
2.944,7.63,6.59,5.59,3.38,
2.945,7.64,6.69,5.64,3.38,
2.946,7.66,6.47,5.64,3.31,
2.947,7.67,6.54,5.38,3.31,
2.948,7.51,6.45,5.39,3.22,
2.949,7.51,6.40,5.47,3.17,
2.950,7.43,6.55,5.31,3.28,
2.951,7.48,6.36,5.29,3.21,
2.952,7.51,6.31,5.50,3.08,
2.953,7.32,6.18,5.44,3.06,
2.954,7.38,6.19,5.27,3.11,
2.955,7.28,6.10,5.34,3.02,
2.956,7.21,6.08,5.10,3.14,
2.957,7.19,6.10,5.12,3.03,
2.958,7.20,6.15,5.21,3.12,
2.959,7.09,5.99,5.04,3.00,
2.960,7.02,5.99,5.02,3.01,
2.961,7.08,5.96,4.89,2.92,
2.962,6.98,5.72,4.95,2.90,
2.963,6.98,5.79,4.96,2.90,
2.964,6.98,5.88,4.96,2.92,
2.965,6.86,5.86,4.74,2.81,
2.966,6.92,5.82,4.90,2.90,
2.967,6.99,5.78,4.82,2.81,
2.968,6.85,5.66,4.76,2.78,
2.969,6.86,5.65,4.75,2.66,
2.970,6.75,5.58,4.73,2.62,
2.971,6.75,5.60,4.70,2.71,
2.972,6.65,5.50,4.73,2.56,
2.973,6.60,5.63,4.66,2.51,
2.974,6.75,5.53,4.52,2.63,
2.975,6.78,5.45,4.51,2.54,
2.976,6.49,5.50,4.41,2.52,
2.977,6.57,5.40,4.51,2.39,
2.978,6.44,5.39,4.46,2.43,
2.979,6.52,5.31,4.52,2.36,
2.980,6.39,5.35,4.32,2.43,
2.981,6.41,5.31,4.35,2.33,
2.982,6.33,5.29,4.36,2.30,
2.983,6.34,5.26,4.37,2.19,
2.984,6.33,5.20,4.41,2.19,
2.985,6.14,5.19,4.19,2.30,
2.986,6.19,5.13,4.23,2.33,
2.987,6.09,5.13,4.14,2.34,
2.988,6.20,5.07,4.15,2.22,
2.989,6.05,5.10,4.15,2.12,
2.990,6.04,5.02,3.96,2.12,
2.991,5.88,5.03,4.01,2.12,
2.992,5.98,5.00,4.00,2.12,
2.993,5.88,4.94,3.96,2.01,
2.994,5.84,4.87,3.69,2.00,
2.995,5.80,4.94,3.85,1.93,
2.996,5.78,4.90,3.65,1.95,
2.997,5.86,4.91,3.78,1.90,
2.998,5.78,4.66,3.77,1.86,
2.999,5.68,4.75,3.62,1.86,
3.000,5.79,4.93,3.73,1.79,
3.001,5.69,4.69,3.76,1.76,
3.002,5.70,4.67,3.67,1.74,
3.003,5.64,4.53,3.52,1.73,
3.004,5.53,4.63,3.50,1.66,
3.005,5.45,4.49,3.53,1.80,
3.006,5.38,4.55,3.49,1.69,
3.007,5.42,4.55,3.46,1.64,
3.008,5.40,4.54,3.42,1.63,
3.009,5.34,4.42,3.35,1.68,
3.010,5.38,4.29,3.41,1.60,
3.011,5.29,4.31,3.25,1.57,
3.012,5.37,4.36,3.26,1.64,
3.013,5.26,4.26,3.29,1.57,
3.014,5.23,4.28,3.27,1.49,
3.015,5.10,4.25,3.32,1.37,
3.016,5.14,4.15,3.24,1.52,
3.017,5.18,4.30,3.25,1.45,
3.018,5.07,4.21,3.15,1.50,
3.019,5.00,4.11,3.16,1.51,
3.020,5.13,4.04,3.18,1.31,
3.021,5.18,4.11,3.17,1.38,
3.022,5.13,3.98,3.17,1.31,
3.023,5.05,4.06,3.05,1.26,
3.024,5.07,4.08,3.03,1.26,
3.025,4.89,4.00,3.01,1.29,
3.026,5.00,3.88,2.85,1.24,
3.027,4.79,3.92,2.98,1.18,
3.028,5.00,3.93,3.03,1.15,
3.029,4.85,3.86,2.96,1.13,
3.030,4.82,3.82,2.95,1.14,
3.031,4.71,3.82,2.84,1.11,
3.032,4.72,3.79,2.70,1.06,
3.033,4.62,3.73,2.64,1.05,
3.034,4.67,3.62,2.74,1.02,
3.035,4.62,3.68,2.80,1.04,
3.036,4.57,3.69,2.67,1.06,
3.037,4.55,3.56,2.70,0.84,
3.038,4.52,3.56,2.67,0.93,
3.039,4.59,3.60,2.69,0.86,
3.040,4.41,3.54,2.49,0.81,
3.041,4.56,3.55,2.44,0.88,
3.042,4.56,3.44,2.58,0.96,
3.043,4.41,3.62,2.45,0.85,
3.044,4.33,3.39,2.44,0.80,
3.045,4.35,3.49,2.47,0.83,
3.046,4.30,3.42,2.43,0.78,
3.047,4.26,3.42,2.37,0.67,
3.048,4.26,3.46,2.43,0.80,
3.049,4.17,3.33,2.34,0.73,
3.050,4.34,3.24,2.42,0.75,
3.051,4.19,3.37,2.25,0.71,
3.052,4.18,3.24,2.27,0.59,
3.053,4.19,3.20,2.13,0.57,
3.054,4.22,3.18,2.23,0.58,
3.055,4.13,3.17,2.08,0.62,
3.056,4.09,3.10,2.09,0.75,
3.057,4.06,3.27,2.12,0.67,
3.058,4.00,3.09,2.05,0.66,
3.059,3.99,3.08,2.06,0.63,
3.060,4.02,3.06,1.94,0.53,
3.061,4.01,2.97,2.03,0.46,
3.062,3.91,2.97,1.91,0.59,
3.063,3.91,2.81,1.96,0.55,
3.064,3.91,3.04,1.94,0.56,
3.065,3.79,3.02,1.91,0.58,
3.066,3.88,2.94,1.90,0.47,
3.067,3.87,2.80,1.82,0.35,
3.068,3.66,2.82,1.81,0.45,
3.069,3.62,2.78,1.74,0.37,
3.070,3.74,2.84,1.80,0.40,
3.071,3.69,2.77,1.86,0.30,
3.072,3.69,2.76,1.74,0.36,
3.073,3.58,2.67,1.74,0.40,
3.074,3.60,2.76,1.65,0.38,
3.075,3.61,2.66,1.68,0.29,
3.076,3.48,2.70,1.68,0.36,
3.077,3.58,2.62,1.68,0.38,
3.078,3.47,2.63,1.62,0.37,
3.079,3.56,2.65,1.57,0.27,
3.080,3.48,2.66,1.61,0.30,
3.081,3.48,2.58,1.53,0.34,
3.082,3.55,2.45,1.55,0.33,
3.083,3.38,2.48,1.43,0.33,
3.084,3.32,2.60,1.55,0.30,
3.085,3.36,2.40,1.53,0.20,
3.086,3.36,2.54,1.54,0.26,
3.087,3.30,2.38,1.45,0.21,
3.088,3.34,2.37,1.32,0.08,
3.089,3.31,2.33,1.36,0.12,
3.090,3.31,2.28,1.29,0.29,
3.091,3.19,2.37,1.33,0.23,
3.092,3.16,2.48,1.36,0.22,
3.093,3.20,2.33,1.34,0.15,
3.094,3.12,2.11,1.30,0.04,
3.095,3.06,2.24,1.13,0.03,
3.096,3.13,2.23,1.27,0.19,
3.097,3.08,2.17,1.15,0.20,
3.098,3.06,2.13,1.08,0.23,
3.099,2.92,2.11,1.17,0.16,
3.100,2.88,2.11,1.10,0.13,
3.101,2.89,2.15,1.10,0.12,
3.102,2.96,2.04,1.06,0.15,
3.103,2.91,2.14,1.18,0.09,
3.104,2.95,2.02,1.10,0.00,
3.105,2.93,2.15,1.08,0.15,
3.106,2.89,2.04,1.05,0.13,
3.107,2.82,1.88,1.14,0.07,
3.108,2.85,1.90,0.90,0.12,
3.109,2.87,1.96,0.92,0.19,
3.110,2.78,1.93,0.89,0.09,
3.111,2.77,1.84,0.99,0.08,
3.112,2.79,1.84,0.95,0.00,
3.113,2.76,1.87,0.99,0.00,
3.114,2.84,1.84,0.89,0.04,
3.115,2.92,1.86,0.85,0.08,
3.116,2.65,1.74,0.87,0.17,
3.117,2.77,1.81,0.88,0.08,
3.118,2.79,1.67,0.73,0.07,
3.119,2.77,1.72,0.75,0.04,
3.120,2.66,1.69,0.79,0.00,
3.121,2.60,1.68,0.79,0.00,
3.122,2.65,1.62,0.88,0.06,
3.123,2.45,1.68,0.75,0.23,
3.124,2.60,1.61,0.81,0.10,
3.125,2.50,1.56,0.66,0.11,
3.126,2.54,1.70,0.69,0.08,
3.127,2.39,1.66,0.88,0.00,
3.128,2.31,1.53,0.58,0.08,
3.129,2.36,1.63,0.70,0.00,
3.130,2.36,1.56,0.65,0.00,
3.131,2.40,1.63,0.71,0.07,
3.132,2.31,1.61,0.70,0.02,
3.133,2.40,1.46,0.51,0.09,
3.134,2.39,1.65,0.63,0.06,
3.135,2.37,1.59,0.57,0.00,
3.136,2.33,1.49,0.58,0.00,
3.137,2.33,1.37,0.62,0.05,
3.138,2.42,1.54,0.56,0.01,
3.139,2.28,1.48,0.52,0.01,
3.140,2.38,1.40,0.49,0.00,
3.141,2.24,1.43,0.55,0.10,
3.142,2.10,1.45,0.60,0.06,
3.143,2.14,1.41,0.52,0.09,
3.144,2.22,1.39,0.51,0.11,
3.145,2.16,1.32,0.48,0.16,
3.146,2.05,1.36,0.44,0.01,
3.147,2.12,1.36,0.45,0.00,
3.148,2.14,1.39,0.52,0.00,
3.149,2.03,1.31,0.38,0.00,
3.150,2.03,1.24,0.46,0.00,
3.151,2.11,1.36,0.49,0.02,
3.152,1.98,1.24,0.46,0.01,
3.153,1.93,1.26,0.46,0.05,
3.154,2.00,1.22,0.49,0.06,
3.155,1.91,1.17,0.43,0.14,
3.156,2.08,1.24,0.43,0.00,
3.157,1.98,1.12,0.32,0.00,
3.158,1.98,1.14,0.33,0.03,
3.159,1.97,1.05,0.50,0.00,
3.160,2.00,1.01,0.34,0.01,
3.161,1.90,1.16,0.37,0.04,
3.162,1.90,1.08,0.43,0.00,
3.163,1.93,1.07,0.25,0.10,
3.164,1.93,1.10,0.29,0.14,
3.165,1.76,1.04,0.29,0.01,
3.166,1.91,0.98,0.36,0.06,
3.167,1.85,1.16,0.36,0.00,
3.168,1.91,0.96,0.29,0.12,
3.169,1.87,0.96,0.24,0.09,
3.170,1.79,1.01,0.19,0.00,
3.171,1.79,1.04,0.27,0.00,
3.172,1.76,0.92,0.26,0.00,
3.173,1.70,1.07,0.24,0.00,
3.174,1.73,1.02,0.27,0.00,
3.175,1.67,0.95,0.18,0.01,
3.176,1.73,1.03,0.18,0.06,
3.177,1.73,0.93,0.16,0.01,
3.178,1.65,0.98,0.16,0.00,
3.179,1.64,0.88,0.03,0.08,
3.180,1.64,0.88,0.14,0.11,
3.181,1.73,0.74,0.25,0.04,
3.182,1.61,0.86,0.18,0.05,
3.183,1.62,0.85,0.14,0.08,
3.184,1.60,0.72,0.07,0.00,
3.185,1.63,0.70,0.13,0.12,
3.186,1.63,0.80,0.19,0.00,
3.187,1.57,0.76,0.10,0.17,
3.188,1.54,0.73,0.00,0.00,
3.189,1.63,0.74,0.27,0.13,
3.190,1.56,0.76,0.03,0.18,
3.191,1.50,0.64,0.04,0.07,
3.192,1.50,0.58,0.14,0.11,
3.193,1.48,0.74,0.02,0.10,
3.194,1.52,0.68,0.20,0.03,
3.195,1.51,0.68,0.10,0.11,
3.196,1.52,0.61,0.11,0.09,
3.197,1.42,0.65,0.10,0.10,
3.198,1.40,0.63,0.14,0.00,
3.199,1.41,0.53,0.04,0.00,
3.200,1.41,0.69,0.09,0.00,
3.201,1.45,0.56,0.02,0.09,
3.202,1.58,0.66,0.01,0.00,
3.203,1.38,0.52,0.03,0.05,
3.204,1.49,0.66,0.00,0.13,
3.205,1.37,0.70,0.00,0.11,
3.206,1.41,0.61,0.09,0.08,
3.207,1.34,0.54,0.11,0.09,
