file,group,format,channel,cutoff_Hz,peak_error_pct,noise_reduction_x
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,10,-3.831873045305274,4.962810106610982
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,15,-3.510048861628106,6.21461668664505
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,20,-2.9830690935368365,5.9251146635260445
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,25,-3.3914238325095325,6.646333877016205
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,30,-3.249869539723614,6.730875520502441
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,40,-3.091877613887467,5.582177747449885
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,50,-3.0365452731997338,2.669046131348745
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,75,-3.139749683177172,2.634521954264921
024_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,100,-3.1528933637263936,2.7100921751217175
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,5,-15.653083839713657,0.2579883084458354
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,10,-2.1532017389032645,4.606273297105692
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,15,-2.1663337794543143,16.741055331474342
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,20,-2.0108299016286866,15.093019764588348
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,25,-1.7151234998803817,13.814169139498638
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,30,-1.5646458685566782,13.345786206951354
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,40,-1.3216497428321419,13.189230065267942
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,50,-1.4334574335613586,8.35711586048881
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,75,-1.2455527217439206,7.902821715392803
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V03,100,-1.248876626312096,7.737830786763167
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,5,-15.849770135936861,0.20015843981348144
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,10,-4.365560315236707,4.635674811127834
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,15,-4.11729918356861,6.974883728768154
028_210℃_080_0.5mm.csv,0.5mm_210℃,nr500,V04,20,-3.654832452755148,6.502517215899151
